cik,primarysymbol,companyname,industry,sector,siccode,websiteurl,lastannualtotalassets,lastannualrevenue,lastannualnetincome,lastannualeps,totalsharesoutstandingdate
831259,FCX,FREEPORT-MCMORAN INC,Integrated  Mining,Basic Materials,1000,http://www.fcx.com,37317000000,14830000000,-4315000000,-3.16,4/28/2017 0:00
23217,CAG,CONAGRA BRANDS INC.,Food Processing,Consumer Non-Cyclicals,2000,www.conagrafoods.com,13390600000,11642900000,-677000000,-1.56,2/26/2017 0:00
39911,GPS,GAP INC,Apparel & Accessories Retailers,Consumer Cyclicals,5651,http://www.gapinc.com,7610000000,15516000000,676000000,1.69,3/14/2017 0:00
808362,BHI,BAKER HUGHES INC,Oil Related Services and Equipment,Energy,3533,www.bakerhughes.com,19034000000,9841000000,-2738000000,-6.31,4/18/2017 0:00
1390777,BK,BANK OF NEW YORK MELLON CORP,Investment Management & Fund Operators,Financials,6022,,3.33469E+11,0,3547000000,3.15,3/31/2017 0:00
935703,DLTR,DOLLAR TREE INC,Discount Stores,Consumer Cyclicals,5331,http://www.dollartree.com,15701600000,20719200000,896200000,3.78,3/23/2017 0:00
865436,WFM,WHOLE FOODS MARKET INC,Food Retail & Distribution,Consumer Non-Cyclicals,5411,www.wholefoods.com,6341000000,15724000000,507000000,1.55,5/12/2017 0:00
79879,PPG,PPG INDUSTRIES INC,Commodity Chemicals,Basic Materials,2851,http://www.ppg.com,15769000000,14751000000,877000000,3.28,3/31/2017 0:00
40987,GPC,GENUINE PARTS CO,"Auto, Truck & Motorcycle Parts",Consumer Cyclicals,5013,http://www.genpt.com/,8859400000,15339713000,687240000,4.59,3/31/2017 0:00
813762,IEP,ICAHN ENTERPRISES L.P.,Industrial Conglomerates,Industrials,3714,www.ielp.com,33335000000,17469000000,-1128000000,-8.07,5/9/2017 0:00
1618673,PFGC,PERFORMANCE FOOD GROUP CO,Food Retail & Distribution,Consumer Non-Cyclicals,5141,,3455400000,16104800000,68300000,0.7,5/3/2017 0:00
29989,OMC,OMNICOM GROUP INC.,Advertising & Marketing,Consumer Cyclicals,7311,http://www.omnicomgroup.com,23165400000,15416900000,1148600000,4.78,5/1/2017 0:00
1001082,DISH,DISH NETWORK CORP,Broadcasting,Consumer Cyclicals,4841,http://www.echostar.com,28091847000,15094562000,1449853000,3.05,4/21/2017 0:00
1031296,FE,FIRSTENERGY CORP,Electric Utilities,Utilities,4911,www.firstenergycorp.com,43148000000,14562000000,-6177000000,-14.49,3/31/2017 0:00
1110783,MON,MONSANTO CO /NEW/,Agricultural Chemicals,Basic Materials,2870,www.monsanto.com,19736000000,13502000000,1336000000,2.99,4/3/2017 0:00
874761,AES,AES CORP,Electric Utilities,Utilities,4991,www.aes.com,36119000000,13586000000,-1130000000,-1.71,5/1/2017 0:00
1170010,KMX,CARMAX INC,"Auto Vehicles, Parts & Service Retailers",Consumer Cyclicals,5500,http://www.carmax.com,16279356000,15875118000,626970000,3.26,3/31/2017 0:00
1013871,NRG,"NRG ENERGY, INC.",Electric Utilities,Utilities,4911,www.nrgenergy.com/investor/corpgov.htm,30355000000,12351000000,-774000000,-2.22,4/30/2017 0:00
106040,WDC,WESTERN DIGITAL CORP,Computer Hardware,Technology,3572,www.westerndigital.com,32862000000,12994000000,242000000,1,5/3/2017 0:00
1048286,MAR,MARRIOTT INTERNATIONAL INC /MD/,"Hotels, Motels & Cruise Lines",Consumer Cyclicals,7011,http://marriott.com/default.mi,24140000000,17072000000,780000000,2.64,4/26/2017 0:00
800240,ODP,OFFICE DEPOT INC,Other Specialty Retailers,Consumer Cyclicals,5940,http://www.officedepot.com,5540000000,11021000000,529000000,0.97,4/1/2017 0:00
72333,JWN,NORDSTROM INC,Department Stores,Consumer Cyclicals,5651,http://www.nordstrom.com/,7858000000,14757000000,354000000,2.02,3/7/2017 0:00
1506307,KMI,"KINDER MORGAN, INC.",Oil & Gas Transportation Services,Energy,4922,,80305000000,13058000000,708000000,0.25,4/20/2017 0:00
1584509,ARMK,ARAMARK,Restaurants & Bars,Consumer Cyclicals,5812,www.aramark.com,10582072000,14415829000,287806000,1.16,4/28/2017 0:00
927066,DVA,DAVITA INC.,Healthcare Facilities & Services,Healthcare,8090,http://www.davita.com,18741257000,14745105000,879874000,4.29,4/28/2017 0:00
1179929,MOH,MOLINA HEALTHCARE INC,Healthcare Facilities & Services,Healthcare,6324,www.molinahealthcare.com,7449000000,17782000000,52000000,0.92,4/28/2017 0:00
1279363,WCG,"WELLCARE HEALTH PLANS, INC.",Managed Healthcare,Healthcare,6324,www.wellcare.com,6152800000,14237100000,242100000,5.43,5/1/2017 0:00
813828,CBS,CBS CORP,Broadcasting,Consumer Cyclicals,4833,http://www.viacom.com,24238000000,13166000000,1261000000,2.81,4/28/2017 0:00
1403161,V,VISA INC.,Internet Services,Technology,7389,www.visa.com,64035000000,15082000000,5991000000,2.48,4/14/2017 0:00
59558,LNC,LINCOLN NATIONAL CORP,Life & Health Insurance,Financials,6311,www.lfg.com,2.61627E+11,13330000000,1192000000,5,5/1/2017 0:00
31462,ECL,ECOLAB INC.,Specialty Chemicals,Basic Materials,2840,http://www.ecolab.com/,18330200000,13152800000,1229600000,4.14,3/31/2017 0:00
55067,K,KELLOGG CO,Food Processing,Consumer Non-Cyclicals,2040,http://www.kelloggcompany.com,15111000000,13014000000,694000000,1.96,4/29/2017 0:00
1043277,CHRW,C H ROBINSON WORLDWIDE INC,Ground Freight & Logistics,Industrials,4731,www.gener.com,3687758000,13144413000,513384000,3.59,5/5/2017 0:00
217346,TXT,TEXTRON INC,Aerospace & Defense,Industrials,3720,www.textron.com,15358000000,13788000000,962000000,3.53,4/14/2017 0:00
60086,L,LOEWS CORP,Property & Casualty Insurance,Financials,6331,www.loews.com,76594000000,13105000000,654000000,1.93,4/21/2017 0:00
49826,ITW,ILLINOIS TOOL WORKS INC,Industrial Conglomerates,Industrials,3560,http://www.itwinc.com,15201000000,13599000000,2035000000,5.7,3/31/2017 0:00
1177394,SNX,SYNNEX CORP,Computer Hardware,Technology,5045,www.synnex.com,5223263000,14061837000,234946000,5.88,3/28/2017 0:00
48039,HFC,HOLLYFRONTIER CORP,Oil & Gas Refining and Marketing,Energy,2911,http://www.hollycorp.com,9435661000,10535700000,-260453000,-1.48,4/28/2017 0:00
798081,LAKE,LAKELAND INDUSTRIES INC,Apparel & Accessories,Consumer Cyclicals,3842,www.lakeland.com,84554000,86183000,3893000,0.53,4/24/2017 0:00
1090012,DVN,DEVON ENERGY CORP/DE,Oil & Gas Exploration and Production,Energy,1311,http://www.devonenergy.com/,25913000000,12197000000,-3302000000,-6.52,4/19/2017 0:00
1534504,PBF,PBF ENERGY INC.,Oil & Gas Refining and Marketing,Energy,2911,www.pbfenergy.com,7621927000,15920424000,170811000,1.74,5/2/2017 0:00
